,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
17,0.1581247647603353,0.009043759676038814,0.021807273228963215,0.0020492157486870512,,entropy,6,,0.05,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
40,0.07502857844034831,0.007661629306230378,0.019946813583374023,0.001413600664653713,,gini,3,,0.05,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
58,0.051531712214152016,0.005779437435738871,0.01861286163330078,0.0044878926199092214,,gini,6,sqrt,0.05,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.632258064516129,0.6276276276276276,0.6331751105944654,0.004946570413025221,82
13,0.16263230641682944,0.012000551431241093,0.021455844243367512,0.0028677941128028533,,entropy,6,,0.005,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.6426512968299711,0.6467236467236467,0.6082725060827251,0.632549149878781,0.017246498850772844,83
52,0.08547067642211914,0.00684772028667595,0.01881718635559082,0.002718623366252845,,gini,6,,0.05,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6374695863746959,0.6347607052896725,0.6253041362530414,0.6325114759724699,0.005214966829976876,84
64,0.11477494239807129,0.01245254887037362,0.016962448755900066,0.0008162506573991431,,gini,9,,0.05,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6374695863746959,0.6347607052896725,0.6253041362530414,0.6325114759724699,0.005214966829976876,84
27,0.19251330693562826,0.006535235491187936,0.0257724126180013,0.002891883576633737,,entropy,9,,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.6345609065155807,0.6626865671641791,0.5995085995085995,0.6322520243961197,0.025843917424332043,86
15,0.14717864990234375,0.005948120049873611,0.02267297108968099,0.00288117281753707,,entropy,6,,0.01,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.64,0.6477272727272727,0.606280193236715,0.6313358219879959,0.017995667720165757,87
178,0.056571245193481445,0.0023523726467463337,0.019029855728149414,0.0032808010101833098,"{0: 1, 1: 2}",entropy,9,sqrt,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6312849162011173,0.6343042071197411,0.6276276276276276,0.631072250316162,0.0027298471889583378,88
214,0.06109976768493652,0.006307403387627249,0.02054119110107422,0.0017437293669626335,"{0: 1, 1: 2}",gini,9,sqrt,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6312849162011173,0.6343042071197411,0.6276276276276276,0.631072250316162,0.0027298471889583378,88
